instance,Kleopatra,Team_SB,OptiML,HustSmart,OrbertoHood,UPB,MTGBWS,HowToRoute,Kirchhoffslaw,hindsight,icd-double-threshold,icd-double-threshold180,icd-double-threshold600,icd-hamming-distance1,icd-hamming-distance2,icd-hamming-distance3
ORTEC-VRPTW-ASYM-a7f2c4fa-d1-n328-k23,384214,404403,404246,406186,398744,409050,413773,424578,424230,361949.0,385774.5,384031.3,384215.6,392502.0,384225.0,388173.9
ORTEC-VRPTW-ASYM-374c5f0f-d1-n329-k20,329127,337214,332310,342916,342053,336460,339499,340951,338411,311877.0,329561.8,329843.5,331387.2,337341.8,336618.5,331407.6
ORTEC-VRPTW-ASYM-d5fcf776-d1-n304-k15,314931,322539,329401,327698,334604,330594,333289,335405,336761,303434.0,324761.1,324360.4,321774.7,327922.8,323040.5,326074.2
ORTEC-VRPTW-ASYM-ab71ae29-d1-n696-k40,401669,414054,410206,406762,421764,428717,418055,409920,426229,384426.0,405930.1,407884.9,408009.5,423603.6,411202.2,406181.6
ORTEC-VRPTW-ASYM-067d6ec2-d1-n364-k22,297576,295814,290124,303645,303815,302956,304550,301096,307836,282677.0,296825.4,293363.0,293272.9,319022.1,295772.6,299863.8
ORTEC-VRPTW-ASYM-75ab105a-d1-n299-k23,413442,421835,442791,438838,447439,443579,461442,448588,470861,390167.0,431367.3,434682.4,428796.6,440415.6,438029.1,432916.8
ORTEC-VRPTW-ASYM-b2384b72-d1-n318-k19,405438,421620,415236,432585,415643,420235,431151,426403,434530,387815.8,410171.0,412590.6,410899.0,420007.6,414411.9,412390.9
ORTEC-VRPTW-ASYM-80974c9e-d1-n258-k20,392433,388401,401354,396171,411506,410376,406927,417970,407017,380600.4,388623.6,387134.7,386937.9,400697.2,394152.7,390675.8
ORTEC-VRPTW-ASYM-a9f9af05-d1-n338-k25,333489,337740,343561,339851,354435,343589,344464,363665,367070,319233.0,337358.9,337993.6,334991.9,342169.0,340250.0,336891.0
ORTEC-VRPTW-ASYM-1b04e289-d1-n246-k26,349043,356374,355871,360132,355258,363458,366728,368537,364439,327793.0,347736.4,347529.6,349044.8,359084.2,345550.0,350125.1
ORTEC-VRPTW-ASYM-219c1a89-d1-n275-k18,518136,524031,519689,521167,530796,537232,527945,534154,542249,485301.0,506280.8,507096.2,503289.2,516576.0,511571.8,513021.7
ORTEC-VRPTW-ASYM-a82ecd5f-d1-n360-k19,212790,237553,236061,231043,228714,231738,247794,249483,246728,202723.0,219818.1,219289.3,217357.2,227659.6,220104.6,221829.1
ORTEC-VRPTW-ASYM-d6a07158-d1-n538-k39,314888,314936,324911,330124,337046,332108,329628,332087,334075,304295.0,318952.4,320144.0,319212.3,326692.0,325498.7,321648.3
ORTEC-VRPTW-ASYM-9f661cfd-d1-n267-k19,307236,305641,319961,322466,321801,322259,319190,324771,326777,293040.0,308959.9,306562.3,305683.3,323343.0,315831.7,315934.4
ORTEC-VRPTW-ASYM-af2c5ed6-d1-n296-k18,345454,332633,333497,333316,335790,353602,341783,338594,356704,321994.0,331332.7,330934.5,330046.1,336777.3,333006.1,335006.4
ORTEC-VRPTW-ASYM-2abacc27-d1-n301-k19,495765,523924,511234,499964,505132,510501,533187,514561,539445,450089.0,489004.2,492665.4,490055.7,502077.0,494017.8,488214.3
ORTEC-VRPTW-ASYM-54220d07-d1-n320-k18,332004,357626,376057,378881,361644,384093,365981,365218,386007,319171.0,343725.7,337384.3,336119.0,360711.2,356255.7,339267.8
ORTEC-VRPTW-ASYM-5d7c8922-d1-n320-k26,258000,263492,263746,264497,272398,266065,270469,268803,271206,247719.0,260975.4,261302.3,260016.9,267600.0,262372.6,262435.0
ORTEC-VRPTW-ASYM-180e9e8b-d1-n247-k16,304614,306973,308835,302184,311143,313283,309657,313139,308646,288361.0,302015.4,303610.5,302528.5,305249.0,303522.6,307627.5
ORTEC-VRPTW-ASYM-77e2a832-d1-n432-k22,314140,317138,324970,325560,328073,329048,333698,328867,339580,305784.0,319319.2,318102.9,317753.6,325265.4,322025.8,320576.9
ORTEC-VRPTW-ASYM-651f1ab4-d1-n273-k25,341320,350465,344944,361509,354719,360821,371027,370597,367234,319327.0,344982.6,345384.2,344540.6,356747.0,351952.0,351416.3
ORTEC-VRPTW-ASYM-ab871b78-d1-n327-k22,400386,413311,406774,410883,418948,418185,416405,413355,417072,378276.0,405317.0,407341.0,405199.1,414489.4,402752.0,408706.0
ORTEC-VRPTW-ASYM-a5717adc-d1-n207-k12,267998,283268,269330,286498,271259,291413,295649,294546,287516,250255.2,264614.4,264828.7,262729.6,271745.6,271926.2,269505.3
ORTEC-VRPTW-ASYM-114d6c71-d1-n238-k30,266214,292565,294175,276375,275843,304475,293617,307962,285316,248496.0,265939.2,262922.4,262667.5,276814.0,262509.1,264721.0
ORTEC-VRPTW-ASYM-a2f023f6-d1-n288-k25,313417,314859,315674,323052,325244,327707,325082,333678,329110,286934.0,314159.6,311807.6,311722.2,325290.1,317832.0,317292.1
ORTEC-VRPTW-ASYM-a57f2737-d1-n362-k21,177802,182889,188744,187066,183409,188791,196884,186054,190922,169909.0,180546.0,180018.6,180669.7,187512.0,183449.9,181860.1
ORTEC-VRPTW-ASYM-76f9a799-d1-n358-k22,288050,293586,291772,296108,293518,342414,294494,298984,299275,277653.0,290180.2,290596.8,291319.6,290848.0,289721.6,289059.5
ORTEC-VRPTW-ASYM-72419b57-d1-n383-k27,425647,433246,424531,441039,433130,435953,449253,449549,436856,391950.2,429329.7,430146.9,429192.5,433935.7,431947.2,436825.0
ORTEC-VRPTW-ASYM-d86faab0-d1-n281-k17,353837,358414,358067,370244,359508,368949,379681,369768,369273,330682.0,365441.3,365211.5,363612.6,372410.0,360122.9,364984.0
ORTEC-VRPTW-ASYM-2e0e90b1-d1-n293-k20,213444,216627,221591,219406,220648,223903,231704,226589,227142,200145.0,215137.6,214783.7,214167.3,220857.2,219470.2,219398.0
